YEAR,COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL UP TO END OF DECEMBER
2023,DOMINICAN REPUBLIC,2,0,2,2,1,3,1,1,5,6,4,2,29
2024,DOMINICAN REPUBLIC,8,1,3,1,4,3,1,2,23,PENDING,PENDING,PENDING,
2018,ECUADOR,7,15,10,43,0,5,2,12,8,13,5,16,136
2019,ECUADOR,14,11,12,10,2,3,3,11,8,3,10,31,118
2020,ECUADOR,19,7,4,0,0,0,0,0,0,0,0,0,30
2021,ECUADOR,0,0,0,0,0,0,0,0,0,1,1,2,4
2022,ECUADOR,2,4,7,4,6,12,1,3,5,2,5,8,59
2023,ECUADOR,10,6,7,10,6,8,6,4,6,11,12,12,98
2024,ECUADOR,9,13,7,9,8,9,11,1,67,PENDING,PENDING,PENDING,
2018,EGYPT,433,281,278,254,161,278,466,391,230,225,339,518,3854
2019,EGYPT,320,304,364,487,85,168,221,296,265,290,423,485,3708
2020,EGYPT,404,400,152,0,0,0,0,0,0,0,0,0,956
2021,EGYPT,0,3,9,8,3,0,3,5,8,13,80,268,400
2022,EGYPT,217,453,445,170,211,84,136,41,53,173,137,220,2340
2023,EGYPT,127,241,185,309,164,260,292,239,189,269,344,472,3091
2024,EGYPT,396,476,99,458,223,365,326,265,2608,PENDING,PENDING,PENDING,
2018,EL SALVADOR,7,3,2,6,0,5,12,2,1,3,1,5,47
2019,EL SALVADOR,1,5,5,4,1,3,4,3,5,6,6,3,46
2020,EL SALVADOR,0,4,1,0,0,0,0,0,0,0,0,0,5
2021,EL SALVADOR,0,0,0,0,0,0,0,0,0,0,1,0,1
2022,EL SALVADOR,0,4,3,3,0,3,1,3,1,2,2,3,25
2023,EL SALVADOR,3,2,1,8,4,2,5,4,2,1,3,4,39
2024,EL SALVADOR,2,4,4,1,1,5,4,1,22,PENDING,PENDING,PENDING,
2020,EQUATORIAL GUINEA,0,0,,,,,,,,,,,
2021,EQUATORIAL GUINEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,EQUATORIAL GUINEA,0,0,0,0,2,1,0,0,0,0,0,0,3
2024,EQUATORIAL GUINEA,0,0,0,6,0,0,0,0,6,PENDING,PENDING,PENDING,
2018,ERITREA,8,12,10,3,4,5,3,2,7,2,3,12,71
2019,ERITREA,3,3,6,3,1,4,4,1,2,8,5,2,42
2020,ERITREA,2,5,2,0,0,0,0,0,0,0,0,0,9
2021,ERITREA,0,0,0,0,0,0,0,1,0,0,2,4,7
2022,ERITREA,2,2,1,0,3,0,0,1,0,0,2,1,12
2023,ERITREA,2,0,3,2,4,3,1,4,1,1,1,0,22
2024,ERITREA,1,1,1,3,2,6,0,0,14,PENDING,PENDING,PENDING,
2018,ESTONIA,435,586,359,144,32,34,28,56,34,197,205,634,2744
2019,ESTONIA,501,559,268,143,17,11,39,19,23,167,156,613,2516
2020,ESTONIA,394,651,140,0,0,0,0,0,0,0,0,0,1185
2021,ESTONIA,0,3,8,22,0,1,0,1,0,31,50,260,376
2022,ESTONIA,185,285,210,64,12,5,8,2,10,58,28,111,978
2023,ESTONIA,182,193,197,60,35,19,15,26,47,99,229,706,1808
2024,ESTONIA,910,898,690,236,11,30,24,15,2814,PENDING,PENDING,PENDING,
2018,ETHIOPIA,18,19,24,12,28,9,22,17,10,13,21,14,207
2019,ETHIOPIA,9,11,19,16,3,11,9,15,9,7,16,14,139
2020,ETHIOPIA,9,21,6,0,0,0,0,0,0,0,0,0,36
2021,ETHIOPIA,0,0,0,3,0,0,0,0,0,6,5,5,19
2022,ETHIOPIA,3,4,5,3,11,6,3,0,2,3,2,14,56
2023,ETHIOPIA,8,6,1,9,5,12,19,6,13,11,12,19,121
2024,ETHIOPIA,8,6,10,17,6,13,11,14,85,PENDING,PENDING,PENDING,
2021,EUROPEAN UNION,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,FIJI,19,5,18,6,10,10,16,17,17,12,13,16,159
2019,FIJI,23,17,17,13,5,7,10,5,10,10,14,13,144
2020,FIJI,34,49,3,0,0,0,0,0,0,0,0,0,86
2021,FIJI,0,0,0,0,0,3,0,0,0,0,5,4,12
2022,FIJI,0,0,6,0,1,1,3,3,8,4,3,19,48
2023,FIJI,6,5,17,4,8,9,18,18,6,16,19,40,166
2024,FIJI,16,9,11,26,13,9,9,7,100,PENDING,PENDING,PENDING,
2018,FINLAND,1854,1499,1036,371,230,298,242,211,231,368,688,1860,8888
2019,FINLAND,1589,1668,1007,364,58,167,153,112,104,216,446,1144,7028
2020,FINLAND,986,1037,275,0,0,0,0,0,0,0,0,0,2298
2021,FINLAND,0,2,7,10,5,0,1,4,20,32,65,195,341
2022,FINLAND,271,298,181,169,45,95,59,40,28,78,77,159,1500
2023,FINLAND,257,204,173,123,93,116,106,61,132,197,352,473,2287
2024,FINLAND,737,666,464,238,159,130,94,100,2588,PENDING,PENDING,PENDING,
2018,FRANCE,12221,16871,14818,7411,3721,3688,11303,11016,4316,4784,6825,9475,106449
2019,FRANCE,11892,17295,13957,9148,1120,1989,7142,7087,2929,3383,4857,6824,87623
2020,FRANCE,9352,11430,4056,0,0,0,0,0,0,0,0,0,24838
2021,FRANCE,4,40,72,84,27,654,147,248,181,624,1447,3021,6549
2022,FRANCE,3616,5699,5741,4035,1076,1717,3567,2784,1201,1540,1841,2665,35482
2023,FRANCE,4840,6118,5786,5535,2414,2895,7432,6223,2661,2956,3882,5509,56251
2024,FRANCE,9919,12503,10960,8792,4064,3102,9405,8596,67341,PENDING,PENDING,PENDING,
2018,GABON,0,2,0,0,0,1,1,1,0,0,0,0,5
2019,GABON,1,0,0,0,0,0,0,1,1,0,0,2,5
2020,GABON,1,,,0,0,0,0,0,0,0,0,0,1
2021,GABON,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,GABON,0,0,1,1,0,0,0,0,0,0,1,0,3
2023,GABON,1,0,0,0,0,1,0,0,0,0,0,0,2
2024,GABON,0,0,0,0,0,0,0,0,0,PENDING,PENDING,PENDING,
2018,GAMBIA,1,1,0,0,1,1,1,2,0,0,0,1,8
2019,GAMBIA,1,0,1,0,1,0,0,0,1,2,1,0,7
2020,GAMBIA,0,1,1,0,0,0,0,0,0,0,0,0,2
2021,GAMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,GAMBIA,0,0,0,1,0,0,0,0,0,0,0,0,1
2023,GAMBIA,0,1,0,1,0,0,0,2,2,4,1,7,18
2024,GAMBIA,0,2,0,2,4,2,1,3,14,PENDING,PENDING,PENDING,
2018,GEORGIA,85,82,63,82,44,26,37,35,79,48,56,60,697
2019,GEORGIA,102,64,53,26,18,23,39,34,26,58,66,56,565
2020,GEORGIA,102,108,26,0,0,0,0,0,0,0,0,0,236
2021,GEORGIA,0,0,1,9,0,0,0,4,2,14,23,60,113
2022,GEORGIA,106,168,67,28,64,61,24,70,28,40,71,65,792
2023,GEORGIA,164,128,102,87,51,44,24,45,19,88,79,83,914
2024,GEORGIA,216,187,148,132,39,26,30,26,804,PENDING,PENDING,PENDING,
2018,GERMANY,15298,17066,24423,10803,6906,5792,10825,10809,9668,9920,18754,16624,156888
2019,GERMANY,14027,17268,18134,16930,1767,3312,8385,7667,6396,7820,20844,12349,134899
2020,GERMANY,11494,16405,6608,0,0,0,0,0,0,0,0,0,34507
2021,GERMANY,19,245,502,383,222,137,215,515,466,1196,2667,5875,12442
2022,GERMANY,5339,7780,9561,6088,2208,2466,3666,3251,2149,2881,5169,4984,55542
2023,GERMANY,8217,7930,9702,7404,6854,5090,8013,8472,7231,7548,12331,13747,102539
2024,GERMANY,13593,16259,18324,9843,7495,4556,10618,10623,91311,PENDING,PENDING,PENDING,
2018,GHANA,9,6,13,10,8,9,8,6,14,22,15,7,127
2019,GHANA,8,6,13,29,4,1,3,8,11,4,13,8,108
2020,GHANA,3,5,1,0,0,0,0,0,0,0,0,0,9
2021,GHANA,0,0,0,0,1,0,0,0,0,1,1,1,4
2022,GHANA,2,3,0,0,1,1,3,2,0,0,10,7,29
2023,GHANA,1,5,3,1,5,3,1,0,5,3,14,2,43
2024,GHANA,3,4,4,3,1,0,4,4,23,PENDING,PENDING,PENDING,
2018,GREECE,644,573,770,704,620,489,570,763,511,524,726,884,7778
2019,GREECE,766,694,643,619,419,387,475,515,495,507,539,921,6980
2020,GREECE,598,618,357,0,0,0,0,0,0,0,0,0,1573
2021,GREECE,0,1,3,4,2,0,3,3,14,14,46,159,249
2022,GREECE,78,150,102,145,25,16,40,49,27,52,41,174,899
2023,GREECE,151,163,143,148,48,38,101,307,51,135,187,344,1816
2024,GREECE,264,264,305,306,133,82,119,339,1812,PENDING,PENDING,PENDING,
2018,GRENADA,1,1,0,3,2,3,0,0,0,1,2,2,15
2019,GRENADA,0,2,2,0,0,0,0,0,1,0,1,0,6
2020,GRENADA,3,5,8,0,0,0,0,0,0,0,0,0,16
2021,GRENADA,0,0,0,0,0,0,0,0,0,0,1,0,1
2022,GRENADA,0,0,3,0,0,3,2,1,3,1,0,1,14
2023,GRENADA,0,2,0,0,1,0,0,2,2,3,3,2,15
2024,GRENADA,1,0,2,2,0,5,2,5,17,PENDING,PENDING,PENDING,
2022,GUAM,0,2,0,0,0,0,0,0,0,0,0,0,2
2018,GUATEMALA,9,4,5,5,4,3,5,6,7,6,3,3,60
2019,GUATEMALA,7,8,9,6,0,4,2,5,3,4,15,6,69
2020,GUATEMALA,6,1,0,0,0,0,0,0,0,0,0,0,7
2021,GUATEMALA,0,0,0,0,0,0,0,0,3,0,3,0,6
2022,GUATEMALA,0,3,2,8,0,0,,0,0,0,1,2,16
2023,GUATEMALA,1,4,8,1,1,0,4,2,6,5,10,6,48
2024,GUATEMALA,2,10,2,6,6,5,1,3,35,PENDING,PENDING,PENDING,
2019,GUINEA,0,2,0,1,0,0,1,0,4,2,2,0,12
2020,GUINEA,1,0,0,0,0,0,0,0,0,0,0,0,1
2020,GUINEA,,,0,0,0,0,0,0,0,0,0,0,0
2021,GUINEA,0,0,0,1,0,0,0,0,0,0,0,0,1
2023,GUINEA,1,0,1,0,0,1,2,0,0,1,1,1,8
2024,GUINEA,0,2,0,2,1,5,0,2,12,PENDING,PENDING,PENDING,
2018,GUINEA- BISSAU,1,0,0,0,0,0,0,3,1,1,1,4,11
2019,GUINEA-BISSAU,0,2,0,0,0,0,0,0,1,0,1,0,4
2020,GUINEA-BISSAU,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,GUINEA-BISSAU,0,0,0,0,0,0,1,0,0,0,0,0,1
2022,GUINEA-BISSAU,0,0,0,0,0,0,0,0,0,0,0,1,1
2024,GUINEA-BISSAU,0,0,1,0,0,0,1,0,2,PENDING,PENDING,PENDING,
2018,GUYANA,0,2,9,2,1,0,2,2,0,0,4,0,22
2019,GUYANA,6,1,1,1,0,0,0,0,1,2,0,0,12
2020,GUYANA,0,5,4,0,0,0,0,0,0,0,0,0,9
2021,GUYANA,0,0,0,0,0,0,0,0,0,0,3,2,5
2022,GUYANA,0,0,4,2,0,0,0,1,0,0,1,1,9
2023,GUYANA,0,0,2,0,1,1,0,3,1,2,3,1,14
2024,GUYANA,0,1,4,0,0,3,1,2,11,PENDING,PENDING,PENDING,
2018,HAITI,1,1,2,0,0,1,1,1,2,0,1,0,10
2019,HAITI,1,0,1,3,0,0,1,0,0,0,1,2,9
2020,HAITI,2,1,0,0,0,0,0,0,0,0,0,0,3
2021,HAITI,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,HAITI,0,0,0,1,0,0,0,0,0,0,0,0,1
2023,HAITI,3,1,1,0,0,1,1,0,0,1,2,2,12
2024,HAITI,1,0,0,0,0,1,2,0,4,PENDING,PENDING,PENDING,
2018,HONDURAS,9,3,5,0,5,2,3,3,4,8,2,5,49
2019,HONDURAS,16,8,4,4,9,4,2,5,2,1,11,10,76
2020,HONDURAS,7,6,1,0,0,0,0,0,0,0,0,0,14
2021,HONDURAS,0,0,0,1,0,0,0,0,0,0,0,0,1
2022,HONDURAS,1,2,0,0,0,0,1,0,2,0,2,2,10
2023,HONDURAS,3,1,6,1,2,2,1,1,3,1,6,2,29
2024,HONDURAS,1,1,1,2,2,0,2,2,11,PENDING,PENDING,PENDING,
2018,HONG KONG,2,4,3,1,0,1,3,3,4,4,0,0,25
2019,HONG KONG,0,2,0,6,0,1,0,1,0,0,0,1,11
2020,HONG KONG,8,0,2,0,0,0,0,0,0,0,0,0,10
2021,HONG KONG,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,HONG KONG,0,0,0,0,0,0,0,0,0,0,0,1,1
2018,HUNGARY,894,870,517,231,103,138,163,183,147,337,301,630,4514
2019,HUNGARY,845,856,623,267,66,53,102,90,99,169,322,599,4091
2020,HUNGARY,758,655,175,0,0,0,0,0,0,0,0,0,1588
2021,HUNGARY,0,6,6,7,0,0,2,3,12,24,63,322,445
2022,HUNGARY,425,502,508,217,33,47,42,17,31,66,136,300,2324
2023,HUNGARY,400,405,403,189,72,98,200,166,97,211,505,1040,3786
2024,HUNGARY,1544,1311,585,237,78,160,210,261,4386,PENDING,PENDING,PENDING,
2018,ICELAND,51,63,44,39,11,18,51,31,23,21,39,55,446
2019,ICELAND,65,112,57,29,10,10,12,8,13,33,47,31,427
2020,ICELAND,48,38,28,0,0,0,0,0,0,0,0,0,114
2021,ICELAND,0,0,1,0,0,0,0,1,0,6,15,18,41
2022,ICELAND,21,22,18,21,4,23,11,1,2,5,6,29,163
2023,ICELAND,33,25,16,14,16,11,27,5,16,17,19,39,238
2024,ICELAND,41,28,26,16,22,6,29,21,189,PENDING,PENDING,PENDING,
2018,INDIA,37936,32914,30583,29860,42073,32971,31032,32115,32300,38169,39137,45797,424887
2019,INDIA,40049,32286,34812,23431,11246,15048,18309,37568,28917,33217,31677,48442,355002
2020,INDIA,41448,35309,12600,0,0,0,0,0,0,0,0,0,89357
2021,INDIA,17,79,183,796,39,5,8,405,8528,8406,14236,23566,56268
2022,INDIA,11751,12744,23216,8678,5562,6810,6031,5340,6493,8862,10167,17350,123004
2023,INDIA,13759,13714,18959,19915,23016,26830,23461,30593,30063,28222,30339,43973,302844
2024,INDIA,34399,30027,31853,27304,32254,28631,41173,33031,258672,PENDING,PENDING,PENDING,
2018,INDONESIA,535,350,589,352,470,349,468,471,381,472,414,514,5365
2019,INDONESIA,490,484,532,256,227,278,339,479,519,454,318,543,4919
2020,INDONESIA,401,515,198,0,0,0,0,0,0,0,0,0,1114
2021,INDONESIA,3,5,3,6,1,9,21,96,245,473,806,188,1856
2022,INDONESIA,75,81,112,56,72,45,30,36,71,70,103,134,885
2023,INDONESIA,138,175,133,173,142,200,249,208,184,256,217,277,2352
2024,INDONESIA,224,320,257,248,218,272,275,291,2105,PENDING,PENDING,PENDING,
2018,IRAN,507,439,1716,239,268,332,710,580,230,255,196,248,5720
2019,IRAN,204,326,1025,205,51,73,104,117,253,394,220,277,3249
2020,IRAN,330,293,25,0,0,0,0,0,0,0,0,0,648
2021,IRAN,0,0,65,4,3,2,6,7,7,16,106,181,397
2022,IRAN,260,303,2235,227,102,79,35,88,214,190,206,362,4301
2023,IRAN,435,791,3738,420,259,330,264,279,1593,530,783,900,10322
2024,IRAN,688,919,3589,426,280,318,339,883,7442,PENDING,PENDING,PENDING,
2018,IRAQ,81,157,41,40,38,134,78,124,126,38,70,94,1021
2019,IRAQ,95,54,113,58,7,23,64,133,49,76,92,88,852
2020,IRAQ,71,52,15,0,0,0,0,0,0,0,0,0,138
2021,IRAQ,0,0,3,1,3,0,8,0,2,39,91,115,262
2022,IRAQ,72,171,236,71,120,40,98,59,18,44,39,145,1113
2023,IRAQ,63,92,64,84,58,85,100,103,73,49,37,94,902
2024,IRAQ,54,74,21,58,101,93,119,172,692,PENDING,PENDING,PENDING,
2018,IRELAND,975,839,1470,922,384,710,1104,823,758,635,890,1320,10830
2019,IRELAND,1067,1110,1224,1105,111,256,417,472,315,484,627,1066,8254
2020,IRELAND,948,1084,262,0,0,0,0,0,0,0,0,0,2294
2021,IRELAND,0,18,15,17,8,1,7,9,19,49,86,330,559
2022,IRELAND,217,375,746,603,191,137,172,80,52,101,139,243,3056
2023,IRELAND,244,287,463,490,186,423,517,380,293,512,489,852,5136
2024,IRELAND,797,874,1008,846,315,673,715,586,5814,PENDING,PENDING,PENDING,
2021,ISLE OF MAN,0,0,0,0,0,0,0,0,0,0,0,1,1
2018,ISRAEL,1321,1253,1255,513,399,699,1345,1976,2778,466,703,1125,13833
2019,ISRAEL,1899,1532,1077,1266,308,429,1245,1785,1576,1411,760,1482,14770
2020,ISRAEL,1688,1539,329,0,0,0,0,0,0,0,0,0,3556
2021,ISRAEL,0,1,14,33,8,3,22,78,147,110,624,684,1724
2022,ISRAEL,707,1587,1007,1228,150,212,404,643,826,557,548,1457,9326
2023,ISRAEL,1868,2188,1765,1432,863,856,1919,3396,4162,460,187,421,19517
2024,ISRAEL,773,1988,2212,3169,1506,1515,2962,3248,17373,PENDING,PENDING,PENDING,
2018,ITALY,5348,4843,4157,2266,1058,1367,3247,5747,1654,1540,1976,5176,38379
2019,ITALY,6433,5363,4309,3303,452,675,1431,3340,1016,947,3917,4961,36147
2020,ITALY,4454,3743,406,0,0,0,0,0,0,0,0,0,8603
2021,ITALY,2,23,34,43,29,16,32,54,47,160,313,556,1309
2022,ITALY,503,553,730,584,329,506,650,937,352,480,619,1206,7449
2023,ITALY,1477,1409,1272,1384,680,1265,2370,5110,1257,967,1662,3389,22242
2024,ITALY,3485,3194,2502,2245,1010,1792,3630,9586,27444,PENDING,PENDING,PENDING,
2018,JAMAICA,9,7,22,8,6,7,7,14,7,4,4,7,102
2019,JAMAICA,2,7,14,12,0,2,7,3,1,2,0,8,58
2020,JAMAICA,7,18,0,0,0,0,0,0,0,0,0,0,25
2021,JAMAICA,0,0,1,0,0,0,0,0,0,0,2,5,8
2022,JAMAICA,2,0,4,2,0,1,0,1,1,0,0,2,13
2023,JAMAICA,1,1,4,6,3,7,3,7,3,7,5,10,57
2024,JAMAICA,4,11,18,1,7,12,7,5,65,PENDING,PENDING,PENDING,
2018,JAPAN,4694,5263,4629,3512,4229,3074,3798,5625,4480,2831,2658,4657,49450
2019,JAPAN,3553,4878,4611,2203,578,880,1311,2428,2250,1832,1825,3730,30079
2020,JAPAN,2917,3015,712,0,0,0,0,0,0,0,0,0,6644
2021,JAPAN,1,9,12,19,8,11,7,9,9,45,103,159,392
2022,JAPAN,92,122,226,249,158,148,169,294,226,318,377,708,3087
2023,JAPAN,744,974,1042,2318,876,1017,1454,2604,1830,1295,2875,2554,19583
2024,JAPAN,1993,2666,2575,1949,1581,1666,2202,4102,18734,PENDING,PENDING,PENDING,
2018,JORDAN,366,254,299,241,117,268,230,314,200,181,294,392,3156
2019,JORDAN,370,240,295,342,23,161,182,268,146,193,348,517,3085
2020,JORDAN,361,206,60,0,0,0,0,0,0,0,0,0,627
2021,JORDAN,0,4,34,14,12,17,10,16,8,61,183,323,682
2022,JORDAN,224,230,363,135,207,79,242,154,145,181,177,335,2472
2023,JORDAN,261,227,245,376,249,396,545,389,242,218,152,304,3604
2024,JORDAN,180,227,85,313,149,373,275,173,1775,PENDING,PENDING,PENDING,
2018,KAZAKHSTAN,674,407,370,158,73,67,112,77,132,86,134,431,2721
2019,KAZAKHSTAN,509,327,266,109,13,32,41,35,58,91,220,698,2399
2020,KAZAKHSTAN,1182,673,478,0,0,0,0,0,0,0,0,0,2333
2021,KAZAKHSTAN,1,1231,1514,440,2,0,2,7,3,7,85,2462,5754
2022,KAZAKHSTAN,2041,2821,2598,122,28,22,12,13,27,27,95,262,8068
2023,KAZAKHSTAN,470,328,972,159,75,96,106,75,91,166,193,2399,5130
2024,KAZAKHSTAN,3350,2682,2266,152,65,96,168,71,8850,PENDING,PENDING,PENDING,
2018,KENYA,64,35,48,49,59,44,95,61,55,111,58,195,874
2019,KENYA,68,58,41,52,16,24,37,615,427,30,59,132,1559
2020,KENYA,45,50,15,0,0,0,0,0,0,0,0,0,110
2021,KENYA,0,0,1,1,0,0,0,1,1,7,7,21,39
2022,KENYA,19,19,42,20,12,12,5,9,6,15,29,42,230
2023,KENYA,23,40,51,52,24,35,44,106,40,42,30,126,613
2024,KENYA,42,64,80,45,45,29,128,54,487,PENDING,PENDING,PENDING,
2018,KIRIBATI,1,0,0,0,0,1,1,0,0,0,0,0,3
2019,KIRIBATI,0,0,0,2,0,0,0,0,2,1,0,0,5
2023,KIRIBATI,0,0,0,0,0,2,0,0,0,0,0,0,2
2024,KIRIBATI,0,0,1,0,0,0,0,0,1,PENDING,PENDING,PENDING,
2019,KOSOVAR,1,9,0,1,0,0,1,3,5,3,4,4,31
2020,KOSOVAR,11,5,0,0,0,0,0,0,0,0,0,0,16
2021,KOSOVAR,0,1,0,0,0,0,1,0,0,0,3,1,6
2022,KOSOVAR,2,0,3,3,0,1,1,0,0,1,1,1,13
2023,KOSOVAR,1,0,3,6,9,0,5,2,3,2,3,4,38
2024,KOSOVAR,1,4,3,3,5,2,1,1,20,PENDING,PENDING,PENDING,
2018,KOSOVO,0,3,2,8,0,1,5,3,6,0,0,4,32
2018,KUWAIT,545,403,240,249,143,226,335,599,154,157,201,213,3465
2019,KUWAIT,545,467,246,247,37,159,331,520,98,123,135,331,3239
2020,KUWAIT,465,326,34,0,0,0,0,0,0,0,0,0,825
2021,KUWAIT,0,0,3,3,0,0,1,3,4,20,34,98,166
2022,KUWAIT,36,204,131,49,118,45,78,53,43,58,41,96,952
2023,KUWAIT,162,219,101,191,99,183,259,293,147,85,66,150,1955
2024,KUWAIT,231,222,59,225,77,231,198,207,1450,PENDING,PENDING,PENDING,
2018,KYRGYZSTAN,109,46,107,10,17,28,28,14,18,18,17,47,459
2019,KYRGYZSTAN,91,43,54,36,8,7,11,17,21,13,12,84,397
2020,KYRGYZSTAN,122,75,24,0,0,0,0,0,0,0,0,0,221
2021,KYRGYZSTAN,0,1,2,0,7,0,0,0,0,6,6,67,89
2022,KYRGYZSTAN,125,109,82,22,21,0,1,9,9,30,30,94,532
2023,KYRGYZSTAN,79,74,83,38,36,30,61,44,37,35,79,238,834
2024,KYRGYZSTAN,239,219,108,50,32,25,65,21,759,PENDING,PENDING,PENDING,
2018,LAOS,9,7,20,13,39,7,3,23,7,10,16,4,158
2019,LAOS,7,13,22,18,2,6,5,8,11,8,25,4,129
2020,LAOS,8,8,3,0,0,0,0,0,0,0,0,0,19
2021,LAOS,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,LAOS,2,9,4,0,0,1,0,3,3,4,0,3,29
2023,LAOS,17,4,16,2,8,7,6,9,13,6,10,10,108
2024,LAOS,4,13,11,12,18,19,11,9,97,PENDING,PENDING,PENDING,
2018,LATVIA,268,219,261,172,73,73,33,56,124,102,235,324,1940
2019,LATVIA,373,282,274,97,30,25,26,32,51,125,227,314,1856
2020,LATVIA,235,208,155,0,0,0,0,0,0,0,0,0,598
2021,LATVIA,1,13,12,6,3,2,0,2,4,15,106,170,334
2022,LATVIA,192,209,375,67,11,12,12,6,10,39,237,135,1305
2023,LATVIA,171,176,172,59,39,31,31,31,28,99,293,476,1606
2024,LATVIA,750,654,670,146,22,30,30,23,2325,PENDING,PENDING,PENDING,
2018,LEBANON,358,542,561,676,225,365,546,630,367,179,427,645,5521
2019,LEBANON,389,410,576,661,77,184,291,410,287,163,377,479,4304
2020,LEBANON,212,223,48,0,0,0,0,0,0,0,0,0,483
2021,LEBANON,0,6,48,45,16,0,7,6,4,37,126,252,547
2022,LEBANON,87,153,200,305,123,71,108,58,58,88,88,267,1606
2023,LEBANON,111,188,206,616,161,279,321,250,292,268,171,484,3347
2024,LEBANON,155,293,242,671,216,308,283,244,2412,PENDING,PENDING,PENDING,
2018,LESOTHO,0,0,0,4,0,0,2,1,0,0,0,0,7
2019,LESOTHO,3,1,0,0,1,0,1,1,,1,3,2,13
2020,LESOTHO,2,0,0,0,0,0,0,0,0,0,0,0,2
2021,LESOTHO,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,LESOTHO,0,0,0,0,2,1,0,0,0,0,0,0,3
2023,LESOTHO,0,0,0,0,0,2,2,0,0,0,0,0,4
2024,LESOTHO,0,1,3,0,0,0,1,1,6,PENDING,PENDING,PENDING,
2018,LIBERIA,0,0,1,1,4,1,0,0,2,3,0,0,12
2019,LIBERIA,1,0,1,0,0,0,0,3,1,0,0,1,7
2020,LIBERIA,2,0,0,0,0,0,0,0,0,0,0,0,2
2021,LIBERIA,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,LIBERIA,0,1,1,0,1,0,1,0,0,1,0,0,5
2023,LIBERIA,1,0,2,0,0,1,0,0,0,0,1,0,5
2024,LIBERIA,0,1,0,0,0,1,4,1,7,PENDING,PENDING,PENDING,
2018,LIBYA,7,8,8,9,9,13,6,6,8,10,8,5,97
2019,LIBYA,11,8,12,21,8,10,2,3,9,8,11,15,118
2020,LIBYA,6,7,1,0,0,0,0,0,0,0,0,0,14
2021,LIBYA,0,0,0,0,0,0,0,0,1,0,2,5,8
2022,LIBYA,0,8,3,0,0,0,2,0,3,5,0,8,29
2023,LIBYA,4,6,1,4,5,3,3,11,6,3,7,4,57
2024,LIBYA,2,7,0,3,11,4,2,6,35,PENDING,PENDING,PENDING,
2018,LIECHTENSTEIN,5,10,23,10,6,5,13,6,7,6,11,24,126
2019,LIECHTENSTEIN,6,9,13,11,6,1,19,4,4,3,15,17,108
2020,LIECHTENSTEIN,6,15,3,0,0,0,0,0,0,0,0,0,24
2021,LIECHTENSTEIN,0,0,1,1,0,0,0,0,0,2,2,9,15
2022,LIECHTENSTEIN,1,1,5,5,3,0,1,0,0,2,1,8,27
2023,LIECHTENSTEIN,5,6,3,9,10,3,10,2,1,7,8,8,72
2024,LIECHTENSTEIN,7,9,5,10,2,3,10,5,51,PENDING,PENDING,PENDING,
2018,LITHUANIA,382,570,402,241,203,224,163,118,142,231,288,422,3386
2019,LITHUANIA,451,574,399,140,45,51,79,75,72,159,363,385,2793
