YEAR,COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL UP TO END OF DECEMBER
2020,LITHUANIA,514,397,143,0,0,0,0,0,0,0,0,0,1054
2021,LITHUANIA,0,5,11,2,1,4,2,2,11,60,130,155,383
2022,LITHUANIA,352,555,466,146,50,32,52,29,21,59,195,158,2115
2023,LITHUANIA,278,296,360,223,59,77,113,91,113,226,396,490,2722
2024,LITHUANIA,1015,1601,1219,401,69,73,174,111,4663,PENDING,PENDING,PENDING,
2018,LUXEMBOURG,87,77,112,78,20,17,82,177,41,29,68,79,867
2019,LUXEMBOURG,69,75,85,220,7,10,70,82,14,20,51,58,761
2020,LUXEMBOURG,55,57,26,0,0,0,0,0,0,0,0,0,138
2021,LUXEMBOURG,0,2,2,6,0,0,5,2,0,1,19,43,80
2022,LUXEMBOURG,11,33,24,63,6,5,16,18,8,9,13,27,233
2023,LUXEMBOURG,35,40,39,93,33,14,61,78,35,20,29,62,539
2024,LUXEMBOURG,70,86,104,81,37,13,77,109,577,PENDING,PENDING,PENDING,
2018,MACEDONIA,44,34,34,20,13,15,38,19,26,16,16,35,310
2019,MACEDONIA,28,18,26,19,2,8,7,10,4,7,23,14,166
2020,MACEDONIA,23,20,10,0,0,0,0,0,0,0,0,0,53
2021,MACEDONIA,0,0,0,1,0,0,0,0,1,1,6,7,16
2022,MACEDONIA,3,29,16,7,1,0,0,0,2,4,3,6,71
2023,MACEDONIA,9,15,17,28,4,15,13,9,9,29,16,37,201
2024,MACEDONIA,20,24,16,23,29,10,25,14,161,PENDING,PENDING,PENDING,
2018,MADAGASCAR,5,6,4,8,8,3,8,9,23,3,9,11,97
2019,MADAGASCAR,11,7,3,5,2,6,3,113,42,5,5,5,207
2020,MADAGASCAR,3,21,3,0,0,0,0,0,0,0,0,0,27
2021,MADAGASCAR,0,0,1,0,0,0,0,0,0,0,5,0,6
2022,MADAGASCAR,2,3,4,6,2,9,4,8,3,5,6,10,62
2023,MADAGASCAR,7,7,15,7,9,10,9,8,17,21,13,20,143
2024,MADAGASCAR,13,10,19,7,5,7,28,11,100,PENDING,PENDING,PENDING,
2018,MALAWI,5,1,7,1,3,0,3,1,3,2,2,6,34
2019,MALAWI,6,0,2,2,0,0,2,0,3,4,10,11,40
2020,MALAWI,5,5,2,0,0,0,0,0,0,0,0,0,12
2021,MALAWI,0,0,0,0,0,0,0,0,0,2,0,1,3
2022,MALAWI,0,3,0,0,1,5,0,0,1,0,2,3,15
2023,MALAWI,2,2,3,5,4,2,1,1,2,9,7,4,42
2024,MALAWI,3,0,5,3,4,1,10,2,28,PENDING,PENDING,PENDING,
2018,MALAYSIA,1735,1744,1994,1827,1604,2389,1666,2101,1903,1437,2101,2307,22808
2019,MALAYSIA,1481,2070,1998,995,754,857,1026,1533,1461,1248,1461,1977,16861
2020,MALAYSIA,1399,1400,695,0,0,0,0,0,0,0,0,0,3494
2021,MALAYSIA,1,3,3,8,2,0,2,2,3,44,97,158,323
2022,MALAYSIA,159,147,317,244,153,161,123,135,207,264,350,519,2779
2023,MALAYSIA,496,657,676,735,895,779,915,1207,924,788,1084,1784,10940
2024,MALAYSIA,1096,2250,1721,1277,1204,1384,1596,1571,12099,PENDING,PENDING,PENDING,
2018,MALDIVES,6124,4726,7239,5696,4343,5362,6348,6880,4695,5223,7418,12054,76108
2019,MALDIVES,6004,4931,7802,4655,1610,3350,3875,4930,4304,3934,5850,9033,60278
2020,MALDIVES,4264,2960,2183,0,0,0,0,0,0,0,0,0,9407
2021,MALDIVES,17,13,56,32,73,22,249,341,146,963,1464,2896,6272
2022,MALDIVES,2401,1532,1910,567,849,1130,1207,957,1314,1943,1626,3444,18880
2023,MALDIVES,2203,1818,1774,1596,2438,4080,6286,2596,2287,3862,2420,5968,37328
2024,MALDIVES,2919,3235,1562,2938,8040,5109,3097,3198,30098,PENDING,PENDING,PENDING,
2018,MALI,2,1,0,2,1,0,2,1,1,2,4,1,17
2019,MALI,6,0,5,1,0,0,2,0,1,2,2,0,19
2020,MALI,0,3,0,0,0,0,0,0,0,0,0,0,3
2021,MALI,0,0,0,0,0,0,0,0,0,0,1,1,2
2022,MALI,0,0,1,0,0,0,0,0,0,1,1,0,3
2023,MALI,2,0,0,0,1,1,1,2,2,3,2,1,15
2024,MALI,0,1,1,1,0,1,1,2,7,PENDING,PENDING,PENDING,
2018,MALTA,47,35,68,34,13,14,53,51,56,13,38,87,509
2019,MALTA,105,120,84,53,5,1,39,66,33,24,42,141,713
2020,MALTA,87,40,21,0,0,0,0,0,0,0,0,0,148
2021,MALTA,0,0,1,0,0,0,1,0,0,1,6,9,18
2022,MALTA,8,15,12,34,10,20,5,15,41,10,5,98,273
2023,MALTA,45,28,32,33,17,32,39,77,105,42,37,163,650
2024,MALTA,92,125,125,38,21,14,61,136,612,PENDING,PENDING,PENDING,
2018,MARSHALL ISLANDS,0,1,0,0,1,0,0,1,0,0,1,0,4
2019,MARSHALL ISLANDS,0,1,0,0,0,1,0,0,,0,0,0,2
2022,MARSHALL ISLANDS,1,0,0,1,0,0,0,0,0,0,0,0,2
2023,MARSHALL ISLANDS,0,0,1,1,0,0,0,5,0,0,0,0,7
2024,MARSHALL ISLANDS,1,0,0,0,0,0,0,0,1,PENDING,PENDING,PENDING,
2018,MAURITANIA,1,1,1,0,0,0,0,0,0,0,0,0,3
2019,MAURITANIA,18,2,0,2,0,0,3,0,1,2,1,0,29
2020,MAURITANIA,1,0,0,0,0,0,0,0,0,0,0,0,1
2021,MAURITANIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,MAURITANIA,0,1,2,0,0,0,1,0,0,0,1,0,5
2023,MAURITANIA,1,0,1,0,0,0,0,0,0,1,1,3,7
2024,MAURITANIA,0,0,4,1,1,0,0,0,6,PENDING,PENDING,PENDING,
2018,MAURITIUS,56,100,60,40,24,34,72,32,79,28,97,98,720
2019,MAURITIUS,100,50,97,52,4,11,35,35,25,19,25,286,739
2020,MAURITIUS,107,44,19,0,0,0,0,0,0,0,0,0,170
2021,MAURITIUS,0,1,2,0,0,0,1,2,1,3,0,13,23
2022,MAURITIUS,7,14,9,12,7,2,7,3,7,4,17,41,130
2023,MAURITIUS,19,21,28,20,25,29,21,23,29,22,40,194,471
2024,MAURITIUS,48,53,43,59,25,25,33,57,343,PENDING,PENDING,PENDING,
2018,MEXICO,84,87,180,496,72,60,76,68,73,79,112,116,1503
2019,MEXICO,144,133,243,349,33,31,49,53,64,76,96,849,2120
2020,MEXICO,138,181,30,0,0,0,0,0,0,0,0,0,349
2021,MEXICO,0,3,2,1,0,1,0,3,4,10,13,41,78
2022,MEXICO,21,33,43,35,18,12,18,15,13,29,33,64,334
2023,MEXICO,19,40,80,82,46,34,44,45,119,54,82,147,792
2024,MEXICO,96,95,111,155,57,38,44,58,654,PENDING,PENDING,PENDING,
2018,MICRONESIA,0,1,0,0,0,0,0,0,0,1,0,1,3
2019,MICRONESIA,0,0,0,0,0,0,0,0,1,0,0,1,2
2021,MICRONESIA ,0,0,0,1,0,0,0,0,0,0,0,0,1
2022,MICRONESIA ,0,0,0,0,0,0,0,0,0,0,0,1,1
2024,MICRONESIA ,0,0,1,0,0,0,0,1,2,PENDING,PENDING,PENDING,
2018,MOLDOVA,100,56,68,30,18,11,14,23,26,11,42,53,452
2019,MOLDOVA,87,83,82,16,3,15,7,14,20,19,29,74,449
2020,MOLDOVA,120,103,23,0,0,0,0,0,0,0,0,0,246
2021,MOLDOVA,6,7,1,1,0,0,0,0,0,0,12,38,65
2022,MOLDOVA,79,56,14,7,6,2,1,1,6,12,20,37,241
2023,MOLDOVA,66,47,56,25,14,17,13,8,14,14,49,89,412
2024,MOLDOVA,134,166,92,81,8,2,13,11,507,PENDING,PENDING,PENDING,
2018,MONACO,5,7,9,1,1,1,2,8,0,2,1,24,61
2019,MONACO,6,2,2,17,0,0,2,7,1,0,0,5,42
2020,MONACO,0,6,0,0,0,0,0,0,0,0,0,0,6
2021,MONACO,0,0,0,0,0,0,0,0,0,0,1,0,1
2022,MONACO,1,1,4,3,0,0,0,0,0,3,0,31,43
2023,MONACO,2,0,5,6,0,1,0,1,4,0,0,4,23
2024,MONACO,5,11,1,3,0,0,4,2,26,PENDING,PENDING,PENDING,
2018,MONGOLIA,21,9,23,10,6,10,21,8,24,9,22,18,181
2019,MONGOLIA,31,20,37,3,6,4,6,4,11,4,4,37,167
2020,MONGOLIA,20,13,2,0,0,0,0,0,0,0,0,0,35
2021,MONGOLIA,0,0,0,0,0,0,0,0,0,0,0,4,4
2022,MONGOLIA,14,22,0,1,1,1,4,1,4,3,1,0,52
2023,MONGOLIA,2,12,7,20,2,7,11,8,15,18,14,5,121
2024,MONGOLIA,15,6,7,4,8,22,10,1,73,PENDING,PENDING,PENDING,
2018,MONTENEGRO,17,21,14,11,11,24,8,18,17,11,65,14,231
2019,MONTENEGRO,27,9,29,14,5,52,2,23,4,11,14,20,210
2020,MONTENEGRO,33,40,12,0,0,0,0,0,0,0,0,0,85
2021,MONTENEGRO,0,0,0,0,1,0,1,1,0,0,0,0,3
2022,MONTENEGRO,5,13,12,9,2,1,3,1,0,0,7,6,59
2023,MONTENEGRO,20,9,6,10,2,1,1,9,2,6,6,4,76
2024,MONTENEGRO,34,19,17,18,2,3,6,9,108,PENDING,PENDING,PENDING,
2018,MOROCCO,86,101,97,98,31,60,72,127,63,73,81,147,1036
2019,MOROCCO,128,96,147,100,6,44,48,86,69,49,93,165,1031
2020,MOROCCO,125,136,50,0,0,0,0,0,0,0,0,0,311
2021,MOROCCO,0,1,0,2,0,1,1,1,1,7,20,51,85
2022,MOROCCO,29,61,90,23,44,20,19,28,10,24,42,56,446
2023,MOROCCO,47,38,58,65,40,86,81,82,49,45,64,134,789
2024,MOROCCO,62,103,35,131,59,80,87,112,669,PENDING,PENDING,PENDING,
2018,MOZAMBIQUE,2,24,1,2,0,1,3,5,2,4,1,7,52
2019,MOZAMBIQUE,4,4,3,1,0,0,1,5,6,0,3,15,42
2020,MOZAMBIQUE,9,3,0,0,0,0,0,0,0,0,0,0,12
2021,MOZAMBIQUE,0,0,0,1,0,0,0,0,0,0,0,1,2
2022,MOZAMBIQUE,0,2,1,0,2,1,0,0,3,1,2,2,14
2023,MOZAMBIQUE,5,3,3,0,0,1,7,2,1,7,3,2,34
2024,MOZAMBIQUE,2,2,5,1,7,4,1,1,23,PENDING,PENDING,PENDING,
2018,MYANMAR,372,123,172,309,113,127,230,695,159,138,372,431,3241
2019,MYANMAR,248,274,310,159,163,149,185,653,265,199,234,285,3124
2020,MYANMAR,190,214,128,0,0,0,0,0,0,0,0,0,532
2021,MYANMAR,1,4,1,5,2,2,0,3,2,1,9,9,39
2022,MYANMAR,16,23,19,42,16,11,16,10,33,25,14,27,252
2023,MYANMAR,35,36,73,44,90,53,93,355,47,63,138,103,1130
2024,MYANMAR,106,101,110,125,83,117,194,417,1253,PENDING,PENDING,PENDING,
2018,NAMIBIA,5,3,19,6,1,5,0,6,3,3,0,20,71
2019,NAMIBIA,2,5,0,5,0,0,2,1,1,1,6,4,27
2020,NAMIBIA,0,6,0,0,0,0,0,0,0,0,0,0,6
2021,NAMIBIA,0,0,0,4,0,0,0,0,0,1,0,2,7
2022,NAMIBIA,2,0,1,10,3,0,2,0,2,0,1,3,24
2023,NAMIBIA,1,0,0,0,4,1,1,1,2,1,3,3,17
2024,NAMIBIA,3,5,5,3,0,2,6,0,24,PENDING,PENDING,PENDING,
2018,NAURU,0,1,0,0,0,0,,0,0,0,0,0,1
2019,NAURU,0,0,1,0,0,0,0,0,,0,0,0,1
2020,NAURU,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,NAURU,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,NAURU,0,0,0,0,0,5,0,3,0,0,0,0,8
2024,NAURU,0,0,2,0,0,0,0,0,2,PENDING,PENDING,PENDING,
2018,NEPAL,566,401,367,366,472,444,352,444,377,642,391,480,5302
2019,NEPAL,495,467,417,449,331,262,409,398,425,656,509,596,5414
2020,NEPAL,589,560,235,0,0,0,0,0,0,0,0,0,1384
2021,NEPAL,0,1,1,3,2,3,1,4,7,29,65,209,325
2022,NEPAL,100,97,186,94,39,30,25,50,47,90,126,181,1065
2023,NEPAL,292,247,295,226,361,374,375,476,593,632,411,468,4750
2024,NEPAL,625,508,309,284,282,200,382,252,2842,PENDING,PENDING,PENDING,
2018,NETHERLANDS,5061,4739,4532,3989,2051,2350,13342,6182,4049,3222,3320,4323,57160
2019,NETHERLANDS,5101,5126,4864,3523,375,696,6385,3520,2673,1659,2213,2858,38993
2020,NETHERLANDS,3538,3763,1355,0,0,0,0,0,0,0,0,0,8656
2021,NETHERLANDS,18,21,35,52,11,20,72,115,94,242,598,1144,2422
2022,NETHERLANDS,1141,1232,1422,1575,483,423,2053,1021,473,559,649,956,11987
2023,NETHERLANDS,1514,1485,1573,1593,1072,1258,6796,3429,3177,2117,2370,2672,29056
2024,NETHERLANDS,4531,4011,3707,3437,1845,1935,11431,5355,36252,PENDING,PENDING,PENDING,
2018,NEW ZEALAND,989,655,1004,1540,620,1613,1376,1091,923,947,1129,1938,13825
2019,NEW ZEALAND,1067,1070,1437,1483,385,615,1003,993,954,663,930,1863,12463
2020,NEW ZEALAND,1035,987,302,0,0,0,0,0,0,0,0,0,2324
2021,NEW ZEALAND,3,5,7,14,5,6,0,11,3,24,80,167,325
2022,NEW ZEALAND,112,131,246,329,181,153,239,166,186,244,307,572,2866
2023,NEW ZEALAND,394,346,543,627,540,853,734,575,648,561,749,1343,7913
2024,NEW ZEALAND,732,567,1032,1116,664,853,1017,1011,6992,PENDING,PENDING,PENDING,
2018,NICARAGUA,4,0,5,6,1,1,2,0,1,2,3,3,28
2019,NICARAGUA,1,0,3,1,0,1,0,1,0,0,0,4,11
2022,NICARAGUA,0,0,0,0,0,1,1,0,0,0,1,0,3
2023,NICARAGUA,2,1,0,1,1,1,0,0,3,1,1,1,12
2024,NICARAGUA,1,1,1,1,0,1,0,0,5,PENDING,PENDING,PENDING,
2018,NIGER,0,0,0,1,1,0,2,0,1,0,0,0,5
2018,NIGER,0,0,1,0,0,0,0,0,0,0,0,0,1
2019,NIGER,0,0,0,0,0,1,1,0,3,0,1,0,6
2020,NIGER,0,0,3,0,0,0,0,0,0,0,0,0,3
2021,NIGER,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NIGER,0,0,0,0,1,0,1,0,0,0,0,0,2
2023,NIGER,0,2,0,0,1,0,0,1,1,3,0,0,8
2024,NIGER,0,1,0,1,0,0,0,0,2,PENDING,PENDING,PENDING,
2018,NIGERIA,44,38,42,28,39,22,24,28,47,36,37,27,412
2019,NIGERIA,43,13,16,4,4,5,20,8,17,13,13,16,172
2020,NIGERIA,12,13,0,0,0,0,0,0,0,0,0,0,25
2021,NIGERIA,0,0,0,2,0,0,0,0,1,0,1,7,11
2022,NIGERIA,5,3,3,5,0,0,1,1,1,1,1,6,27
2023,NIGERIA,10,2,3,3,4,15,9,7,6,15,13,6,93
2024,NIGERIA,1,11,3,9,0,1,9,5,39,PENDING,PENDING,PENDING,
2018,NORTH KOREA,0,2,0,0,0,0,0,0,0,0,0,0,2
2019,NORTH KOREA,0,0,1,0,0,0,0,0,34,0,0,0,35
2018,NORWAY,1851,1722,1784,690,511,2272,3067,952,605,821,1090,1852,17217
2019,NORWAY,1906,2053,1278,1246,172,1299,1709,675,522,452,747,1387,13446
2020,NORWAY,1379,1304,336,0,0,0,0,0,0,0,0,0,3019
2021,NORWAY,0,14,21,17,2,32,39,64,56,212,237,447,1141
2022,NORWAY,521,595,768,587,192,1021,757,295,250,257,332,408,5983
2023,NORWAY,698,567,648,487,344,1281,1643,481,547,394,622,1035,8747
2024,NORWAY,1226,1329,1033,548,379,1452,1800,486,8253,PENDING,PENDING,PENDING,
2018,OMAN,842,573,268,306,84,539,2171,965,305,209,310,274,6846
2019,OMAN,564,355,324,282,15,324,890,326,193,162,364,318,4117
2020,OMAN,768,229,48,0,0,0,0,0,0,0,0,0,1045
2021,OMAN,0,0,1,0,0,0,1,11,5,27,69,132,246
2022,OMAN,101,127,93,18,47,35,75,55,26,58,84,157,876
2023,OMAN,183,229,63,64,93,212,427,386,74,77,122,108,2038
2024,OMAN,236,116,28,125,139,322,685,473,2124,PENDING,PENDING,PENDING,
2018,PAKISTAN,2099,1734,1589,1384,1150,1454,1924,1709,1225,1381,1401,2066,19116
2019,PAKISTAN,1543,1496,1081,848,169,521,782,2836,1849,1060,1039,1431,14655
2020,PAKISTAN,1397,1166,502,0,0,0,0,0,0,0,0,0,3065
2021,PAKISTAN,0,13,17,18,9,13,111,456,1225,2042,2612,1004,7520
2022,PAKISTAN,610,691,1256,138,214,279,241,286,421,443,783,898,6260
2023,PAKISTAN,595,724,824,399,580,711,1223,1264,1391,903,962,1168,10744
2024,PAKISTAN,956,1299,941,797,938,1399,1848,1040,9218,PENDING,PENDING,PENDING,
2018,PALAU,0,0,0,0,0,0,0,5,0,0,0,0,5
2023,PALAU,0,0,0,0,0,0,0,2,1,1,0,0,4
2024,PALAU,0,0,0,0,0,0,0,0,0,PENDING,PENDING,PENDING,
2018,PALESTINIAN TERRITORIES,114,65,62,51,52,113,167,163,60,77,74,80,1078
2019,PALESTINIAN TERRITORIES,77,58,74,111,13,55,65,142,67,42,68,99,871
2020,PALESTINIAN TERRITORIES,85,33,10,0,0,0,0,0,0,0,0,0,128
2021,PALESTINIAN TERRITORIES,0,0,1,0,2,0,0,1,3,3,20,38,68
2022,PALESTINIAN TERRITORIES,20,27,55,13,29,21,28,20,15,23,39,76,366
2023,PALESTINIAN TERRITORIES,28,43,25,41,41,65,76,133,40,29,26,43,590
2024,PALESTINIAN TERRITORIES,25,61,8,57,31,81,96,65,424,PENDING,PENDING,PENDING,
2018,PANAMA,5,7,2,10,3,5,0,3,1,5,9,4,54
2019,PANAMA,8,15,0,2,0,1,2,0,4,0,12,1,45
2020,PANAMA,6,8,1,0,0,0,0,0,0,0,0,0,15
2021,PANAMA,0,1,0,0,0,0,0,0,0,0,0,0,1
2022,PANAMA,2,1,0,0,1,2,4,1,1,0,0,0,12
2023,PANAMA,1,4,3,0,1,2,1,0,2,2,3,1,20
2024,PANAMA,4,7,5,3,2,0,3,1,25,PENDING,PENDING,PENDING,
2018,PAPUA NEW GUINEA,5,0,11,7,2,6,8,18,3,3,8,13,84
2019,PAPUA NEW GUINEA,3,0,2,1,1,0,2,6,12,3,33,35,98
2020,PAPUA NEW GUINEA,3,3,,0,0,0,0,0,0,0,0,0,6
2021,PAPUA NEW GUINEA,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,PAPUA NEW GUINEA,0,1,2,1,0,1,2,1,3,1,1,8,21
2023,PAPUA NEW GUINEA,1,3,2,0,,8,1,2,5,3,0,16,41
2024,PAPUA NEW GUINEA,3,1,28,3,0,4,2,5,46,PENDING,PENDING,PENDING,
2018,PARAGUAY,0,0,7,3,0,1,1,2,0,3,2,3,22
2019,PARAGUAY,1,3,2,2,1,0,2,4,2,0,3,2,22
2020,PARAGUAY,6,5,2,0,0,0,0,0,0,0,0,0,13
2021,PARAGUAY,0,0,2,0,0,0,0,0,0,0,0,0,2
2022,PARAGUAY,1,2,0,3,0,0,0,1,0,0,2,1,10
2023,PARAGUAY,2,3,2,3,2,2,4,4,0,3,0,0,25
2024,PARAGUAY,2,2,4,2,2,1,1,0,14,PENDING,PENDING,PENDING,
2018,PERU,27,50,32,32,21,6,20,21,20,20,20,32,301
2019,PERU,33,33,44,39,9,16,17,15,22,18,14,40,300
2020,PERU,30,44,21,0,0,0,0,0,0,0,0,0,95
2021,PERU,0,0,0,1,0,0,0,0,0,0,7,10,18
2022,PERU,11,12,13,9,10,1,3,5,3,4,2,14,87
2023,PERU,8,10,10,14,6,8,21,10,9,9,20,22,147
2024,PERU,24,13,24,42,16,11,16,25,171,PENDING,PENDING,PENDING,
2018,PHILIPPINES,1667,1744,1775,1631,1656,1673,1681,1723,1306,1460,1560,1427,19303
2019,PHILIPPINES,1244,1485,1413,1308,759,998,1102,1121,1372,1285,1329,1174,14590
2020,PHILIPPINES,1199,1890,1160,0,0,0,0,0,0,0,0,0,4249
2021,PHILIPPINES,6,15,8,28,26,6,18,21,31,76,116,178,529
2022,PHILIPPINES,109,157,256,246,160,97,149,125,115,162,149,236,1961
2023,PHILIPPINES,188,262,329,369,300,410,448,468,328,318,296,448,4164
2024,PHILIPPINES,262,440,395,578,395,544,500,465,3579,PENDING,PENDING,PENDING,
2018,POLAND,3254,3195,1676,1163,661,710,1281,1021,1117,1109,2658,2533,20378
2019,POLAND,3840,3302,2653,914,218,284,763,558,702,805,3496,3361,20896
2020,POLAND,5577,4693,1638,0,0,0,0,0,0,0,0,0,11908
2021,POLAND,0,11,45,26,9,2,8,34,20,116,460,1379,2110
2022,POLAND,3185,4315,3315,1391,203,320,344,261,228,307,802,524,15195
2023,POLAND,1269,1118,1507,1129,616,702,999,1029,1599,1418,3343,3217,17946
2024,POLAND,7800,6909,4789,2349,1002,1047,2257,2240,28393,PENDING,PENDING,PENDING,
2018,PORTUGAL,486,581,537,524,191,253,337,653,334,601,574,862,5933
2019,PORTUGAL,452,592,806,673,94,164,243,431,251,312,520,655,5193
2020,PORTUGAL,568,850,184,0,0,0,0,0,0,0,0,0,1602
2021,PORTUGAL,0,4,4,8,1,3,1,6,17,53,141,134,372
2022,PORTUGAL,157,206,341,295,64,128,86,113,95,120,145,156,1906
2023,PORTUGAL,230,268,299,486,155,181,282,368,286,304,557,527,3943
2024,PORTUGAL,487,654,670,530,314,281,351,667,3954,PENDING,PENDING,PENDING,
2018,QATAR,268,75,63,111,53,183,267,379,56,59,51,111,1676
2019,QATAR,65,119,115,220,7,32,115,135,31,41,40,143,1063
2020,QATAR,69,53,7,0,0,0,0,0,0,0,0,0,129
2021,QATAR,0,1,0,2,0,0,0,0,0,7,12,12,34
2022,QATAR,4,17,53,5,55,9,38,9,21,15,18,57,301
2023,QATAR,34,46,67,62,25,145,179,134,23,47,27,33,822
2024,QATAR,41,45,16,99,39,80,156,102,578,PENDING,PENDING,PENDING,
2020,REPUBLIC,,,1,0,0,0,0,0,0,0,0,0,4
2020,REPUBLIC,,,1,0,0,0,0,0,0,0,0,0,1
2020,REPUBLIC OF ZIMBABWE,7,4,1,0,0,0,0,0,0,0,0,0,12
2021,REPUBLIC OF ZIMBABWE,0,0,0,0,0,0,0,0,0,0,1,1,2
2022,REPUBLIC OF ZIMBABWE,6,0,1,0,1,0,0,1,0,0,1,0,10
2018,ROMANIA,935,943,561,469,150,205,211,280,303,349,483,1042,5931
2019,ROMANIA,891,913,679,444,88,129,167,293,209,225,488,937,5463
2020,ROMANIA,785,693,246,0,0,0,0,0,0,0,0,0,1724
2021,ROMANIA,0,2,4,32,2,6,0,20,7,21,145,581,820
2022,ROMANIA,528,776,517,475,50,46,64,117,77,110,146,407,3313
2023,ROMANIA,316,398,340,315,163,148,172,304,166,299,516,955,4092
2024,ROMANIA,853,940,638,655,147,192,264,336,4025,PENDING,PENDING,PENDING,
2018,RUSSIAN FEDERATION,11569,11043,9089,4027,1264,1135,1162,1174,1590,3096,8090,11258,64497
2019,RUSSIAN FEDERATION,13474,13008,12705,3680,844,711,1300,1332,1638,5761,14537,17559,86549
2020,RUSSIAN FEDERATION,19616,20948,8833,0,0,0,0,0,0,0,0,0,49397
2021,RUSSIAN FEDERATION,20,119,197,173,94,33,66,247,304,1328,3520,10793,16894
2022,RUSSIAN FEDERATION,13478,15340,8899,3874,3202,1610,1918,1426,1553,6189,13820,19963,91272
2023,RUSSIAN FEDERATION,25254,29084,25553,14656,7760,7968,8009,6853,7163,10629,24912,29657,197498
2024,RUSSIAN FEDERATION,31159,32030,28016,15103,4384,3412,4578,4351,123033,PENDING,PENDING,PENDING,
2018,RWANDA,1,3,1,0,1,0,1,6,0,1,1,3,18
2019,RWANDA,4,1,3,0,0,4,1,6,0,2,1,3,25
2020,RWANDA,3,6,0,0,0,0,0,0,0,0,0,0,9
2021,RWANDA,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,RWANDA,3,1,0,2,0,0,0,0,0,0,1,2,9
2023,RWANDA,2,0,1,2,3,3,1,1,0,2,2,7,24
2024,RWANDA,1,6,3,2,1,5,4,2,24,PENDING,PENDING,PENDING,
2018,SAINT KITTS AND NEVIS,6,3,4,2,3,0,1,9,3,4,2,10,47
2019,SAINT KITTS AND NEVIS,1,5,5,5,1,6,3,5,3,2,4,4,44
2020,SAINT KITTS AND NEVIS,8,6,1,0,0,0,0,0,0,0,0,0,15
2021,SAINT KITTS AND NEVIS,0,2,0,3,0,0,0,1,1,0,3,12,22
2022,SAINT KITTS AND NEVIS,4,8,3,3,6,2,3,1,1,4,1,10,46
2023,SAINT KITTS AND NEVIS,3,10,9,11,7,12,3,12,3,6,8,10,94
2024,SAINT KITTS AND NEVIS,17,12,10,26,10,10,8,8,101,PENDING,PENDING,PENDING,
2018,SAINT LUCIA,0,2,0,1,0,1,0,1,0,1,0,1,7
2019,SAINT LUCIA,0,1,1,2,0,0,0,0,4,0,1,0,9
2020,SAINT LUCIA,0,1,0,0,0,0,0,0,0,0,0,0,1
2021,SAINT LUCIA,0,0,0,0,0,0,0,0,0,0,1,2,3
2022,SAINT LUCIA,0,0,0,1,0,0,3,2,0,0,1,0,7
2023,SAINT LUCIA,3,0,0,1,0,0,0,1,4,0,2,1,12
2024,SAINT LUCIA,1,1,2,0,0,4,1,1,10,PENDING,PENDING,PENDING,
2018,SAINT VINCENT THE GRENADI,0,0,2,1,0,0,0,0,0,0,0,0,3
2019,SAINT VINCENT THE GRENADI,3,0,3,0,0,0,0,0,,0,0,1,7
2020,SAINT VINCENT THE GRENADI,2,0,1,0,0,0,0,0,0,0,0,0,3
2020,SAINT VINCENT THE GRENADI,0,3,0,0,0,0,0,0,0,0,0,0,3
2021,SAINT VINCENT THE GRENADI,0,0,0,0,0,0,0,0,0,0,2,0,2
2023,SAINT VINCENT THE GRENADI,0,0,0,0,0,0,0,7,1,0,0,0,8
2024,SAINT VINCENT THE GRENADI,0,1,0,0,1,0,1,0,3,PENDING,PENDING,PENDING,
