YEAR,COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL UP TO END OF DECEMBER
2018,SAMOA,0,0,0,0,1,1,1,0,1,0,0,0,4
2019,SAMOA,0,1,1,0,1,0,0,0,4,0,0,0,7
2020,SAMOA,0,1,0,0,0,0,0,0,0,0,0,0,1
2021,SAMOA,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SAMOA,0,0,0,0,0,0,0,1,0,2,0,0,3
2024,SAMOA,0,0,0,0,0,1,0,0,1,PENDING,PENDING,PENDING,
2018,SAN MARINO,1,16,7,0,0,2,0,0,1,0,0,1,28
2019,SAN MARINO,4,4,4,0,1,0,0,0,1,1,0,4,19
2020,SAN MARINO,0,3,0,0,0,0,0,0,0,0,0,0,3
2021,SAN MARINO,0,0,0,0,0,0,0,0,0,0,1,0,1
2022,SAN MARINO,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,SAN MARINO,1,1,0,0,1,0,0,3,0,0,2,0,8
2024,SAN MARINO,6,0,0,0,2,4,0,1,13,PENDING,PENDING,PENDING,
2018,SAO TOME AND PRINCIPE,0,0,0,0,0,1,0,0,0,0,0,0,1
2018,SAUDI ARABIA,4397,1065,997,1263,666,5422,8409,6517,1432,1030,849,2656,34703
2019,SAUDI ARABIA,1759,1157,1402,1212,75,1500,2903,2357,985,656,805,896,15707
2020,SAUDI ARABIA,3914,662,179,0,0,0,0,0,0,0,0,0,4755
2021,SAUDI ARABIA,0,0,1,1,7,4,11,36,23,79,693,741,1596
2022,SAUDI ARABIA,1167,861,1397,225,365,281,311,220,118,212,471,324,5952
2023,SAUDI ARABIA,340,365,653,414,372,595,1564,708,331,290,872,293,6797
2024,SAUDI ARABIA,511,549,91,360,213,990,1276,330,4320,PENDING,PENDING,PENDING,
2018,SENEGAL,5,6,4,2,4,3,3,4,3,1,3,2,40
2019,SENEGAL,3,1,6,8,0,1,1,1,2,1,5,5,34
2020,SENEGAL,0,3,0,0,0,0,0,0,0,0,0,0,3
2021,SENEGAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,SENEGAL,1,0,0,0,1,3,0,1,1,1,1,1,10
2023,SENEGAL,2,5,2,3,0,1,0,3,4,8,2,2,32
2024,SENEGAL,4,2,0,3,0,1,2,0,12,PENDING,PENDING,PENDING,
2018,SERBIA,285,282,184,123,47,60,89,115,74,74,178,293,1804
2020,SERBIA,202,204,91,0,0,0,0,0,0,0,0,0,497
2021,SERBIA,0,2,9,3,0,3,0,3,3,4,55,80,162
2022,SERBIA,138,158,147,95,7,6,9,13,7,12,27,54,673
2023,SERBIA,144,153,136,172,41,31,63,88,76,82,164,215,1365
2024,SERBIA,314,293,239,222,32,52,91,107,1350,PENDING,PENDING,PENDING,
2019,SERBIA.,274,241,186,140,32,48,60,86,56,47,97,231,1498
2018,SEYCHELLES,0,0,0,411,0,2,0,0,2,0,0,1,416
2019,SEYCHELLES,0,1,0,0,0,0,0,0,0,0,0,0,1
2020,SEYCHELLES,0,77,29,0,0,0,0,0,0,0,0,0,106
2021,SEYCHELLES,0,0,1,5,0,0,1,3,1,5,71,31,118
2022,SEYCHELLES,37,32,16,30,14,9,20,29,27,36,31,66,347
2023,SEYCHELLES,21,7,23,33,30,110,267,243,103,143,103,275,1358
2024,SEYCHELLES,211,149,198,289,117,238,222,327,1751,PENDING,PENDING,PENDING,
2019,SEYCHELLS,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,SIERRA LEONE,1,1,2,1,0,1,3,1,3,3,3,0,19
2019,SIERRA LEONE,1,4,2,0,0,1,8,0,1,0,4,,21
2020,SIERRA LEONE,2,,1,0,0,0,0,0,0,0,0,0,3
2021,SIERRA LEONE,0,0,0,0,0,0,0,0,0,0,1,0,1
2022,SIERRA LEONE,0,0,2,2,1,0,1,1,0,3,0,0,10
2023,SIERRA LEONE,0,2,1,4,0,0,2,1,0,0,1,0,11
2024,SIERRA LEONE,2,2,2,3,0,1,4,3,17,PENDING,PENDING,PENDING,
2018,SINGAPORE,1387,1469,1809,1357,1461,1979,1563,1904,1520,1219,1669,2524,19861
2019,SINGAPORE,1117,1500,1824,1037,464,904,805,1202,1017,959,1161,1881,13871
2020,SINGAPORE,1214,878,453,0,0,0,0,0,0,0,0,0,2545
2021,SINGAPORE,1,0,4,4,11,1,4,12,16,31,167,306,557
2022,SINGAPORE,229,283,489,289,209,222,156,182,262,297,432,720,3770
2023,SINGAPORE,414,486,636,500,691,1164,656,904,759,600,1140,1601,9551
2024,SINGAPORE,804,862,1166,858,914,1284,853,1215,7956,PENDING,PENDING,PENDING,
2018,SLOVAKIA,760,820,896,494,153,145,218,259,205,267,543,529,5289
2019,SLOVAKIA,780,913,763,497,68,69,179,188,171,215,524,577,4944
2020,SLOVAKIA,539,730,244,0,0,0,0,0,0,0,0,0,1513
2021,SLOVAKIA,0,14,26,39,8,6,11,18,21,42,168,311,664
2022,SLOVAKIA,363,515,462,287,66,47,112,50,38,87,199,206,2432
2023,SLOVAKIA,351,515,610,475,172,129,254,227,258,394,617,462,4464
2024,SLOVAKIA,990,1179,945,535,173,163,292,290,4567,PENDING,PENDING,PENDING,
2018,SLOVENIA,380,754,271,453,51,107,428,185,174,417,195,487,3902
2019,SLOVENIA,377,717,297,250,15,59,219,120,106,245,134,387,2926
2020,SLOVENIA,261,463,76,0,0,0,0,0,0,0,0,0,800
2021,SLOVENIA,0,5,2,5,2,0,0,6,5,10,18,38,91
2022,SLOVENIA,68,116,54,106,3,24,80,9,6,33,21,82,602
2023,SLOVENIA,146,184,88,197,25,49,351,154,108,203,195,227,1927
2024,SLOVENIA,275,611,194,338,46,115,417,186,2182,PENDING,PENDING,PENDING,
2018,SOLOMAN ISLANDS,1,0,0,1,0,5,0,3,1,2,0,0,13
2019,SOLOMON ISLANDS,0,0,1,0,0,1,0,0,3,0,0,0,5
2022,SOLOMON ISLANDS,0,0,0,0,0,0,1,0,0,0,0,0,1
2023,SOLOMON ISLANDS,0,2,0,0,0,1,0,0,0,0,1,1,5
2024,SOLOMON ISLANDS,0,1,0,0,0,1,1,1,4,PENDING,PENDING,PENDING,
2018,SOMALIA,9,6,9,5,3,11,6,4,12,4,9,14,92
2019,SOMALIA,15,10,11,11,1,8,6,8,0,1,1,10,82
2020,SOMALIA,5,9,1,0,0,0,0,0,0,0,0,0,15
2021,SOMALIA,0,0,0,0,0,0,0,0,0,1,5,0,6
2022,SOMALIA,1,2,4,1,1,0,0,0,1,5,0,3,18
2023,SOMALIA,3,3,4,3,4,4,6,2,1,12,2,9,53
2024,SOMALIA,6,4,10,8,5,4,6,19,62,PENDING,PENDING,PENDING,
2018,SOUTH AFRICA,588,562,791,742,259,520,598,457,413,354,380,1752,7416
2019,SOUTH AFRICA,870,747,1007,628,152,287,237,305,240,253,440,1966,7132
2020,SOUTH AFRICA,686,544,134,0,0,0,0,0,0,0,0,0,1364
2021,SOUTH AFRICA,0,1,23,31,9,2,3,4,4,26,60,109,272
2022,SOUTH AFRICA,73,161,290,257,64,76,55,51,34,58,125,258,1502
2023,SOUTH AFRICA,125,141,265,315,145,291,232,338,185,232,274,901,3444
2024,SOUTH AFRICA,332,350,548,474,195,349,333,324,2905,PENDING,PENDING,PENDING,
2018,SOUTH KOREA,2493,1359,1398,825,892,963,1444,1583,970,1066,1444,1311,15748
2019,SOUTH KOREA,2140,1606,1214,677,334,623,647,799,745,962,971,1477,12195
2020,SOUTH KOREA,1577,835,87,0,0,0,0,0,0,0,0,0,2499
2021,SOUTH KOREA,0,5,7,2,1,0,2,3,11,76,162,120,389
2022,SOUTH KOREA ,104,117,200,151,63,102,87,111,138,211,237,322,1843
2023,SOUTH KOREA ,450,508,479,469,498,516,628,666,656,604,867,957,7298
2024,SOUTH KOREA ,1677,830,861,637,571,579,1009,698,6862,PENDING,PENDING,PENDING,
2018,SOUTH SUDAN,0,1,0,2,1,0,0,1,5,0,0,7,17
2019,SOUTH SUDAN,0,0,3,0,0,0,0,2,6,0,0,4,15
2020,SOUTH SUDAN,0,1,0,0,0,0,0,0,0,0,0,0,1
2021,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,,0,0,0
2022,SOUTH SUDAN,0,0,0,0,0,0,1,0,0,0,0,0,1
2023,SOUTH SUDAN,0,0,0,0,8,1,3,0,0,1,2,0,15
2024,SOUTH SUDAN,3,1,0,0,0,0,0,1,5,PENDING,PENDING,PENDING,
2018,SPAIN,1388,1680,2452,2072,1002,1516,3357,5782,2926,2178,2604,2251,29208
2019,SPAIN,1838,1771,2380,2760,327,751,2383,4419,1930,1696,2212,2022,24489
2020,SPAIN,1509,1380,496,0,0,0,0,0,0,0,0,0,3385
2021,SPAIN,0,18,36,30,20,10,15,78,182,269,463,894,2015
2022,SPAIN,597,744,1112,1447,692,1027,1499,2148,1091,799,748,991,12895
2023,SPAIN,857,770,1125,1619,857,1229,2751,4455,2414,2488,2673,2667,23905
2024,SPAIN,2004,2036,2706,2166,1369,2081,4224,7262,23848,PENDING,PENDING,PENDING,
2018,SUDAN,59,49,53,37,52,100,115,67,142,24,88,72,858
2019,SUDAN,65,25,44,59,19,34,56,54,89,26,56,57,584
2020,SUDAN,67,40,36,0,0,0,0,0,0,0,0,0,143
2021,SUDAN,0,1,0,1,0,0,2,3,1,1,19,69,97
2022,SUDAN,147,151,156,15,63,21,65,21,36,66,32,45,818
2023,SUDAN,61,37,52,44,31,73,154,88,33,36,145,65,819
2024,SUDAN,54,41,14,68,69,116,122,77,561,PENDING,PENDING,PENDING,
2018,SURINAME,1,3,0,1,1,1,0,5,8,4,4,0,28
2019,SURINAME,1,1,2,6,1,0,0,2,,6,0,1,20
2020,SURINAME,0,3,1,0,0,0,0,0,0,0,0,0,4
2021,SURINAME,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,SURINAME,0,1,0,2,0,0,0,1,0,1,0,0,5
2023,SURINAME,0,0,1,1,0,2,4,5,12,1,1,0,27
2024,SURINAME,2,0,0,3,0,1,2,2,10,PENDING,PENDING,PENDING,
2018,SWAZILAND,0,1,1,9,1,0,2,0,0,0,1,1,16
2019,SWAZILAND,0,0,1,0,0,1,0,0,1,0,0,0,3
2020,SWAZILAND,0,1,0,0,0,0,0,0,0,0,0,0,1
2021,SWAZILAND,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,SWAZILAND,1,2,0,0,0,0,0,0,0,0,0,1,4
2023,SWAZILAND,0,0,0,0,2,0,1,0,0,0,2,5,10
2024,SWAZILAND,2,0,1,0,2,0,3,4,12,PENDING,PENDING,PENDING,
2018,SWEDEN,5586,4533,3109,1073,471,889,1206,665,651,1234,2016,6834,28267
2019,SWEDEN,4692,4739,2660,1288,197,467,574,371,427,869,1274,4906,22464
2020,SWEDEN,3099,3239,723,0,0,0,0,0,0,0,0,0,7061
2021,SWEDEN,0,9,22,19,7,14,29,40,29,98,264,1070,1601
2022,SWEDEN,683,818,725,464,104,304,209,124,145,220,409,892,5097
2023,SWEDEN,871,836,631,509,287,622,560,317,327,617,948,2118,8643
2024,SWEDEN,1921,1903,1331,537,278,568,716,290,7544,PENDING,PENDING,PENDING,
2018,SWITZERLAND,3104,3234,3682,2845,1128,1342,5460,1744,1824,1974,3531,4097,33965
2019,SWITZERLAND,3457,3796,3179,4531,431,818,3421,1311,1304,1453,3559,2721,29981
2020,SWITZERLAND,2508,2924,957,0,0,0,0,0,0,0,0,0,6389
2021,SWITZERLAND,3,33,84,93,45,27,123,152,88,403,698,1225,2974
2022,SWITZERLAND,1186,1495,1243,1647,570,665,2207,695,583,889,832,1248,13260
2023,SWITZERLAND,1769,1812,1660,2091,1208,1334,4329,1483,1638,1608,1970,2654,23556
2024,SWITZERLAND,2951,2888,2522,2557,1345,1291,5089,1856,20499,PENDING,PENDING,PENDING,
2018,SYRIAN ARAB REPUBLIC,19,8,24,32,6,3,2,5,13,25,23,49,209
2019,SYRIAN ARAB REPUBLIC,16,32,19,15,5,13,17,0,24,2,6,3,152
2020,SYRIAN ARAB REPUBLIC,37,16,4,0,0,0,0,0,0,0,0,0,57
2021,SYRIAN ARAB REPUBLIC,0,0,1,1,0,0,0,0,0,1,2,0,5
2022,SYRIAN ARAB REPUBLIC,5,4,1,1,0,1,0,1,0,0,0,1,14
2023,SYRIAN ARAB REPUBLIC,0,1,1,0,2,1,0,0,0,0,0,0,5
2024,SYRIAN ARAB REPUBLIC,2,10,0,7,3,1,0,0,23,PENDING,PENDING,PENDING,
2018,TAIWAN,928,1152,700,607,565,412,924,794,474,465,569,597,8187
2019,TAIWAN,1097,1284,889,600,111,278,364,382,655,520,399,548,7127
2020,TAIWAN,1296,580,109,0,0,0,0,0,0,0,0,0,1985
2021,TAIWAN,0,0,3,5,0,0,2,2,3,6,2,19,42
2022,TAIWAN,13,23,35,16,11,50,16,17,22,24,59,77,363
2023,TAIWAN,151,193,237,244,211,637,411,611,616,761,553,374,4999
2024,TAIWAN,1017,1443,971,451,419,647,645,755,6348,PENDING,PENDING,PENDING,
2018,TAJIKISTAN,25,7,25,8,3,4,4,0,7,6,11,2,102
2019,TAJIKISTAN,7,13,8,4,4,2,1,0,4,5,11,20,79
2020,TAJIKISTAN,18,15,9,0,0,0,0,0,0,0,0,0,42
2021,TAJIKISTAN,0,0,0,2,0,0,1,0,1,7,1,3,15
2022,TAJIKISTAN,28,36,28,0,2,7,1,3,5,6,11,6,133
2023,TAJIKISTAN,27,19,14,9,11,11,11,8,8,23,7,27,175
2024,TAJIKISTAN,18,8,11,10,10,12,11,20,100,PENDING,PENDING,PENDING,
2018,TANZANIA,18,20,16,15,16,29,13,25,10,18,22,25,227
2019,TANZANIA,23,19,18,17,10,19,13,481,193,10,26,36,865
2020,TANZANIA,16,27,9,0,0,0,0,0,0,0,0,0,52
2021,TANZANIA,0,0,0,0,0,0,0,0,0,1,2,4,7
2022,TANZANIA,3,2,16,6,1,3,3,2,2,1,22,24,85
2023,TANZANIA,9,10,9,11,9,8,9,10,18,17,8,23,141
2024,TANZANIA,12,25,15,11,14,18,74,15,184,PENDING,PENDING,PENDING,
2018,THAILAND,785,566,1028,691,745,870,807,823,658,581,593,1031,9178
2019,THAILAND,938,999,983,762,547,480,569,791,611,853,1120,1208,9861
2020,THAILAND,736,927,217,0,0,0,0,0,0,0,0,0,1880
2021,THAILAND,0,2,6,3,3,0,3,5,5,29,62,129,247
2022,THAILAND,72,86,156,123,84,131,84,97,89,210,282,311,1725
2023,THAILAND,279,210,308,406,455,414,633,480,326,394,380,637,4922
2024,THAILAND,505,716,928,834,583,364,483,598,5011,PENDING,PENDING,PENDING,
2018,TIMOR-LESTE,1,3,3,5,1,2,9,16,3,3,1,1,48
2019,TIMOR-LESTE,9,2,3,0,0,0,2,1,,5,2,1,25
2020,TIMOR-LESTE,0,1,0,0,0,0,0,0,0,0,0,0,1
2021,TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,TIMOR-LESTE,0,0,0,6,0,6,7,0,11,0,4,0,34
2024,TIMOR-LESTE,4,0,3,6,2,2,0,0,17,PENDING,PENDING,PENDING,
2018,TOGO,3,0,0,2,0,1,1,0,1,2,0,0,10
2019,TOGO,0,1,1,0,0,1,1,0,35,0,0,0,39
2020,TOGO,0,2,0,0,0,0,0,0,0,0,0,0,2
2021,TOGO,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,TOGO,2,0,0,1,1,0,0,0,0,0,0,0,4
2023,TOGO,1,1,0,3,1,1,1,0,0,4,0,0,12
2024,TOGO,0,0,1,0,1,1,0,3,6,PENDING,PENDING,PENDING,
2018,TONGA,0,0,0,0,0,1,2,2,0,2,1,2,10
2019,TONGA,1,0,1,0,0,0,0,2,1,0,2,0,7
2020,TONGA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,TONGA,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,TONGA,0,0,1,0,0,0,0,0,0,0,0,0,1
2023,TONGA,0,0,0,0,4,0,1,0,1,0,0,0,6
2024,TONGA,1,0,0,2,3,4,1,1,12,PENDING,PENDING,PENDING,
2018,TRINIDAD AND TOBAGO,5,9,10,8,4,9,16,2,7,6,21,8,105
2019,TRINIDAD AND TOBAGO,7,5,45,10,1,4,1,3,7,6,9,14,112
2020,TRINIDAD AND TOBAGO,7,19,0,0,0,0,0,0,0,0,0,0,26
2021,TRINIDAD AND TOBAGO,0,0,0,0,0,0,0,0,2,2,9,3,16
2022,TRINIDAD AND TOBAGO,1,1,3,3,1,0,0,1,1,1,2,8,22
2023,TRINIDAD AND TOBAGO,2,7,6,5,5,4,2,3,2,4,5,10,55
2024,TRINIDAD AND TOBAGO,6,16,14,8,10,7,5,6,72,PENDING,PENDING,PENDING,
2018,TUNISIA,71,62,105,56,29,39,49,45,57,29,66,104,712
2019,TUNISIA,90,77,119,75,8,26,36,43,19,39,68,278,878
2020,TUNISIA,80,45,24,0,0,0,0,0,0,0,0,0,149
2021,TUNISIA,0,0,0,1,0,0,5,0,2,5,13,55,81
2022,TUNISIA,30,36,94,28,38,19,11,11,9,23,23,57,379
2023,TUNISIA,43,39,48,106,27,50,71,46,40,65,45,107,687
2024,TUNISIA,56,136,27,152,57,59,79,54,620,PENDING,PENDING,PENDING,
2018,TURKEY,658,632,365,244,288,169,249,375,181,234,236,631,4262
2019,TURKEY,584,692,444,335,87,161,183,339,152,157,800,1038,4972
2020,TURKEY,1145,813,163,0,0,0,0,0,0,0,0,0,2121
2021,TURKEY,1,3,15,11,9,3,6,8,16,31,65,141,309
2022,TURKEY,174,166,290,176,66,57,57,42,47,61,154,224,1514
2023,TURKEY,362,246,227,289,141,275,251,262,256,349,566,515,3739
2024,TURKEY,717,663,473,910,294,572,403,448,4480,PENDING,PENDING,PENDING,
2018,TURKMENISTAN,15,9,11,3,1,0,13,5,1,8,5,6,77
2019,TURKMENISTAN,1,21,17,6,0,3,1,1,35,1,3,7,96
2020,TURKMENISTAN,9,9,3,0,0,0,0,0,0,0,0,0,21
2021,TURKMENISTAN,0,1,0,0,0,0,0,0,0,0,2,1,4
2022,TURKMENISTAN,2,4,3,2,2,0,3,0,0,4,0,9,29
2023,TURKMENISTAN,4,18,11,13,7,5,11,2,5,9,13,23,121
2024,TURKMENISTAN,11,5,9,8,3,1,14,6,57,PENDING,PENDING,PENDING,
2018,TUVALU,0,0,0,2,0,3,1,0,0,1,0,0,7
2019,TUVALU,0,0,0,0,0,0,0,0,1,0,0,0,1
2023,TUVALU,0,0,0,0,0,0,1,2,0,0,0,0,3
2024,TUVALU,0,0,0,0,0,2,0,0,2,PENDING,PENDING,PENDING,
2018,UGANDA,15,22,5,5,6,5,13,11,6,16,19,13,136
2019,UGANDA,197,5,10,5,13,8,23,14,16,6,25,36,358
2020,UGANDA,16,15,5,0,0,0,0,0,0,0,0,0,36
2021,UGANDA,0,0,0,2,0,0,0,0,1,2,2,2,9
2022,UGANDA,3,1,8,6,3,9,3,2,9,2,4,6,56
2023,UGANDA,9,1,9,4,7,15,27,12,11,16,9,7,127
2024,UGANDA,11,33,15,29,16,13,18,13,148,PENDING,PENDING,PENDING,
2018,UKRAINE,6636,5138,3532,2448,1386,1191,1409,1513,2292,2687,3449,4834,36515
2019,UKRAINE,6481,5353,4239,1224,597,595,768,985,1321,2655,4770,6063,35051
2020,UKRAINE,8549,6072,2155,0,0,0,0,0,0,0,0,393,17169
2021,UKRAINE,1460,845,287,47,18,9,13,20,43,168,565,3562,7037
2022,UKRAINE,7774,5288,401,158,84,77,58,68,69,136,260,544,14917
2023,UKRAINE,884,562,516,326,167,200,185,183,233,305,479,1042,5082
2024,UKRAINE,1485,1193,907,437,203,206,214,203,4848,PENDING,PENDING,PENDING,
2018,UNITED ARAB EMIRATES,336,247,420,291,230,488,1199,1045,279,296,412,542,5785
2019,UNITED ARAB EMIRATES,346,271,590,479,17,130,423,439,138,139,187,369,3528
2020,UNITED ARAB EMIRATES,199,123,30,0,0,0,0,0,0,0,0,0,352
2021,UNITED ARAB EMIRATES,0,0,4,7,6,0,3,0,0,5,60,169,254
2022,UNITED ARAB EMIRATES,64,53,240,51,191,69,112,110,53,74,123,207,1347
2023,UNITED ARAB EMIRATES,101,138,115,169,155,404,576,379,228,190,148,342,2945
2024,UNITED ARAB EMIRATES,219,227,72,378,229,591,836,562,3114,PENDING,PENDING,PENDING,
2018,UNITED KINGDOM,22940,23817,30366,26063,9337,12104,25208,23643,14226,17673,21971,26828,254176
2019,UNITED KINGDOM,26036,29750,29682,24718,2953,4365,13010,14132,8345,8763,16038,20984,198776
2020,UNITED KINGDOM,21138,26348,7969,0,0,0,0,0,0,0,0,0,55455
2021,UNITED KINGDOM,3,79,316,334,149,121,342,489,309,2241,3770,8493,16646
2022,UNITED KINGDOM,7442,10642,12908,11539,3723,3368,9257,6776,2872,4275,4506,7879,85187
2023,UNITED KINGDOM,8483,8575,11053,8743,5987,7981,17482,15035,7504,8454,11526,19265,130088
2024,UNITED KINGDOM,16665,20614,21540,13173,8094,9266,20837,17587,127776,PENDING,PENDING,PENDING,
2018,UNITED STATES,7501,5984,9701,8679,4123,4979,7164,4410,4406,3714,5799,8848,75308
2019,UNITED STATES,7849,9678,12543,4810,1398,2412,2974,4686,2830,2836,4514,12302,68832
2020,UNITED STATES,7494,7803,1545,0,0,0,0,0,0,0,0,0,16842
2021,UNITED STATES,10,75,182,248,153,118,242,311,150,573,1178,2884,6124
2022,UNITED STATES,1829,1855,3114,1872,1368,1647,1469,1105,991,1253,2089,3638,22230
2023,UNITED STATES,2636,2443,5701,3940,3240,3806,4120,3107,2357,2651,4299,8044,46344
2024,UNITED STATES,5712,5709,7617,5574,4082,4023,4962,3539,41218,PENDING,PENDING,PENDING,
2018,URUGUAY,13,3,16,34,6,3,3,8,7,7,9,11,120
2019,URUGUAY,12,13,6,25,5,15,4,8,6,5,8,15,122
2020,URUGUAY,21,11,4,0,0,0,0,0,0,0,0,0,36
2021,URUGUAY,0,0,1,0,0,0,0,0,0,0,3,9,13
2022,URUGUAY,1,6,13,10,1,1,1,2,1,7,3,7,53
2023,URUGUAY,5,4,5,14,5,5,7,7,7,6,6,3,74
2024,URUGUAY,12,16,11,8,20,5,3,4,79,PENDING,PENDING,PENDING,
2018,UZBEKISTAN,69,88,48,24,26,30,70,36,74,40,44,47,596
2019,UZBEKISTAN,66,51,77,37,16,22,34,30,19,34,35,118,539
2020,UZBEKISTAN,74,108,35,0,0,0,0,0,0,0,0,0,217
2021,UZBEKISTAN,0,5,10,5,5,1,6,0,0,6,15,52,105
2022,UZBEKISTAN,85,382,563,32,15,21,13,12,13,32,30,44,1242
2023,UZBEKISTAN,152,383,58,25,26,33,48,39,52,68,51,242,1177
2024,UZBEKISTAN,402,70,71,57,32,42,64,28,766,PENDING,PENDING,PENDING,
2018,VANUATU,0,1,1,4,1,3,2,2,1,1,1,0,17
2019,VANUATU,0,1,1,1,0,0,0,0,2,1,0,0,6
2020,VANUATU,5,1,0,0,0,0,0,0,0,0,0,0,6
2021,VANUATU,0,0,0,0,0,0,2,0,0,1,3,0,6
2022,VANUATU,1,0,0,0,0,1,0,1,0,2,2,3,10
2023,VANUATU,1,2,6,5,3,2,4,3,2,2,4,7,41
2024,VANUATU,1,2,6,4,2,13,6,9,43,PENDING,PENDING,PENDING,
2018,VATICAN CITY,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,VENEZUELA,12,18,18,40,16,11,11,33,11,18,13,26,227
2019,VENEZUELA,33,27,19,22,2,7,16,13,8,4,8,17,176
2020,VENEZUELA,13,17,3,0,0,0,0,0,0,0,0,0,33
2021,VENEZUELA,0,0,0,0,0,0,0,0,1,1,2,4,8
2022,VENEZUELA,4,2,8,4,1,1,2,0,1,3,2,2,30
2023,VENEZUELA,4,5,14,18,3,8,9,15,1,5,11,13,106
2024,VENEZUELA,3,17,19,25,6,11,8,9,98,PENDING,PENDING,PENDING,
2018,VIETNAM,237,380,330,342,269,212,241,298,222,272,200,186,3189
2019,VIETNAM,189,388,499,151,107,117,199,197,211,192,206,187,2643
2020,VIETNAM,287,325,97,0,0,0,0,0,0,0,0,0,709
2021,VIETNAM,0,0,5,2,5,0,1,1,2,4,8,24,52
2022,VIETNAM,17,40,46,83,34,43,22,46,41,52,37,58,519
2023,VIETNAM,117,103,284,141,233,192,195,238,154,113,335,202,2307
2024,VIETNAM,166,270,304,235,290,237,279,293,2074,PENDING,PENDING,PENDING,
2018,YEMEN,126,69,64,62,62,156,249,244,57,76,74,128,1367
2019,YEMEN,91,54,59,87,8,42,125,400,104,48,49,47,1114
2020,YEMEN,116,38,19,0,0,0,0,0,0,0,0,0,173
2021,YEMEN,0,0,0,2,2,0,0,1,0,4,26,21,56
2022,YEMEN,24,26,36,3,17,13,13,21,6,8,41,21,229
2023,YEMEN,22,26,28,22,25,23,55,83,31,52,34,44,445
2024,YEMEN,29,65,11,26,14,43,73,45,306,PENDING,PENDING,PENDING,
2018,ZAMBIA,2,7,12,3,6,5,11,5,6,8,45,9,119
2019,ZAMBIA,11,2,9,2,0,1,5,4,3,4,15,14,70
2020,ZAMBIA,16,5,2,0,0,0,0,0,0,0,0,0,23
2021,ZAMBIA,0,0,0,0,0,1,0,0,0,0,0,0,1
2022,ZAMBIA,1,1,1,0,2,1,0,0,1,2,1,16,26
2023,ZAMBIA,6,7,4,6,3,2,5,4,3,4,1,6,51
2024,ZAMBIA,1,3,6,1,2,1,0,3,17,PENDING,PENDING,PENDING,
2018,ZIMBABWE,10,19,27,11,16,9,46,19,35,12,17,26,247
2019,ZIMBABWE,21,13,25,29,9,4,12,13,7,19,11,37,200
2020,ZIMBABWE,11,21,14,0,0,0,0,0,0,0,0,0,46
2021,ZIMBABWE,0,0,0,0,0,0,0,0,1,0,2,4,7
2022,ZIMBABWE,19,3,7,6,13,3,5,0,0,1,5,7,69
2023,ZIMBABWE,7,4,10,16,10,9,16,14,10,10,14,37,157
2024,ZIMBABWE,36,12,25,16,11,14,13,11,138,PENDING,PENDING,PENDING,
